restaurant_id,name,cuisine_type,avg_rating,total_reviews,price_range,avg_delivery_time,is_veg_only,location_lat,location_lon,operating_hours,commission_rate
rest_0030,Golden Cafe,Chinese,4.9,4450,2,46,False,28.5793,77.1577,10AM-11PM,0.18
rest_0031,Spicy Eatery,Street Food,4.9,1395,2,36,False,28.6217,77.2154,10AM-11PM,0.2
rest_0032,Spicy Eatery,Desserts,4.6,327,3,36,False,28.4088,77.1744,10AM-11PM,0.17
rest_0033,Golden Grill,Chinese,4.8,1123,2,42,False,28.5624,77.2843,10AM-11PM,0.2
rest_0034,Paradise House,Chinese,4.5,1793,1,46,False,28.4159,77.0161,11AM-12AM,0.22
rest_0035,Corner Point,Biryani,4.4,118,2,35,True,28.6103,77.0319,11AM-12AM,0.15
rest_0036,Spicy Point,Italian,4.5,66,1,30,False,28.4167,77.0521,11AM-12AM,0.15
rest_0037,Corner Eatery,North Indian,4.9,46,2,41,True,28.6735,77.2071,11AM-12AM,0.16
rest_0038,Deluxe House,Biryani,4.6,39,1,20,True,28.6106,77.1937,9AM-10PM,0.2
rest_0039,Tasty House,South Indian,4.7,18,1,44,True,28.5522,77.2676,11AM-12AM,0.24
rest_0040,Paradise House,Italian,4.3,215,4,27,True,28.5325,77.2199,11AM-12AM,0.15
rest_0041,Corner Kitchen,North Indian,4.7,33,3,32,False,28.4392,77.1525,10AM-11PM,0.24
rest_0042,Corner Grill,North Indian,4.5,45,2,44,False,28.4873,77.2975,9AM-10PM,0.16
rest_0043,Royal Kitchen,South Indian,4.2,424,4,30,True,28.6607,77.0798,10AM-11PM,0.23
rest_0044,Corner Hub,Fast Food,4.4,194,1,41,False,28.6713,77.25,10AM-11PM,0.2
rest_0045,Royal Kitchen,South Indian,4.3,282,3,46,False,28.4002,77.128,11AM-12AM,0.22
rest_0046,Fresh Eatery,South Indian,4.9,1150,3,36,False,28.5782,77.1946,10AM-11PM,0.2
rest_0047,Paradise Eatery,South Indian,4.3,542,2,38,True,28.6158,77.2182,10AM-11PM,0.2
rest_0048,Deluxe Restaurant,Chinese,4.7,1448,2,33,False,28.5856,77.1901,11AM-12AM,0.23
rest_0049,Deluxe Grill,Healthy,4.7,167,2,36,False,28.4245,77.0422,11AM-12AM,0.23
rest_0050,Spicy Kitchen,Chinese,4.9,1665,2,23,False,28.4653,77.1329,11AM-12AM,0.2
rest_0051,Paradise Restaurant,Italian,4.1,254,3,32,False,28.4751,77.1684,9AM-10PM,0.16
rest_0052,Corner Point,Street Food,4.8,191,1,22,True,28.6495,77.2547,10AM-11PM,0.16
rest_0053,Royal Grill,Italian,4.9,1329,2,26,True,28.539,77.1331,10AM-11PM,0.23
rest_0054,Express Hub,North Indian,4.8,40,2,20,False,28.546,77.2756,11AM-12AM,0.2
rest_0055,Tasty Hub,South Indian,4.6,3088,2,37,False,28.6805,77.1321,10AM-11PM,0.2
rest_0056,Fresh Hub,South Indian,4.6,97,2,51,True,28.5911,77.1646,11AM-12AM,0.22
rest_0057,Tasty Point,Chinese,4.2,23,1,30,False,28.6696,77.2389,10AM-11PM,0.24
rest_0058,Classic Restaurant,Chinese,4.9,395,3,44,False,28.537,77.1749,10AM-11PM,0.21
rest_0059,Paradise House,Fast Food,4.6,84,2,46,False,28.4448,77.2881,11AM-12AM,0.23
rest_0060,Classic Eatery,South Indian,4.6,3098,2,23,False,28.679,77.1981,11AM-12AM,0.23
rest_0061,Royal Restaurant,Chinese,4.8,77,3,25,False,28.5376,77.1568,11AM-12AM,0.19
rest_0062,Tasty Palace,Italian,4.6,237,1,44,False,28.4545,77.0071,10AM-11PM,0.18
rest_0063,Golden Point,South Indian,4.7,17,3,34,False,28.4907,77.1241,10AM-11PM,0.23
rest_0064,Paradise Restaurant,Street Food,4.8,502,3,22,True,28.4152,77.0898,10AM-11PM,0.19
rest_0065,Golden Restaurant,Italian,4.8,46,2,28,True,28.5405,77.2244,10AM-11PM,0.24
rest_0066,Royal Cafe,South Indian,4.9,419,1,39,True,28.6559,77.0625,10AM-11PM,0.16
rest_0067,Spicy Eatery,Continental,4.0,78,2,27,True,28.6801,77.0616,10AM-11PM,0.16
rest_0068,Deluxe Point,Chinese,4.5,10,1,20,True,28.6798,77.0569,11AM-12AM,0.24
rest_0069,Express Palace,Italian,4.9,180,1,31,True,28.4376,77.0377,10AM-11PM,0.21
rest_0070,Classic Restaurant,Chinese,4.9,168,2,32,False,28.5146,77.0933,11AM-12AM,0.19
rest_0071,Deluxe Restaurant,Chinese,4.8,556,2,35,True,28.4085,77.2658,9AM-10PM,0.23
rest_0072,Tasty Kitchen,Fast Food,4.8,1531,2,47,False,28.6565,77.2325,10AM-11PM,0.22
rest_0073,Deluxe House,North Indian,4.7,2613,3,35,True,28.5076,77.2206,10AM-11PM,0.2
rest_0074,Golden House,South Indian,4.9,542,2,37,False,28.5893,77.2392,10AM-11PM,0.16
rest_0075,Royal Restaurant,North Indian,4.5,225,1,45,False,28.6145,77.0808,11AM-12AM,0.23
rest_0076,Express Grill,Fast Food,4.9,17,2,35,True,28.529,77.2662,10AM-11PM,0.24
rest_0077,Deluxe Point,South Indian,4.9,200,3,56,False,28.4919,77.0412,10AM-11PM,0.17
rest_0078,Tasty Hub,Biryani,4.8,204,2,22,False,28.6887,77.1009,11AM-12AM,0.24
rest_0079,Classic Grill,Chinese,4.5,110,3,25,False,28.6893,77.176,10AM-11PM,0.24
rest_0080,Express Grill,Fast Food,4.8,383,2,41,False,28.4868,77.0309,11AM-12AM,0.2
rest_0081,Deluxe Palace,Healthy,4.8,798,3,47,False,28.5439,77.219,11AM-12AM,0.22
rest_0082,Tasty Kitchen,Street Food,4.5,43,2,32,False,28.6919,77.1162,11AM-12AM,0.19
rest_0083,Classic Palace,Street Food,4.3,42,2,24,False,28.4015,77.2353,10AM-11PM,0.18
rest_0084,Paradise Bites,Chinese,4.6,120,2,52,True,28.5238,77.1479,9AM-10PM,0.22
rest_0085,Royal Kitchen,Italian,3.8,58,2,27,False,28.4301,77.0543,11AM-12AM,0.24
rest_0086,Fresh Kitchen,South Indian,4.8,12,2,38,False,28.5527,77.2204,10AM-11PM,0.22
rest_0087,Corner Kitchen,North Indian,4.4,33,2,48,False,28.4074,77.0756,10AM-11PM,0.2
rest_0088,Tasty Bites,Chinese,4.4,23,3,30,True,28.5221,77.1472,10AM-11PM,0.17
rest_0089,Spicy Cafe,Italian,4.6,909,4,28,False,28.4662,77.0227,9AM-10PM,0.16
rest_0090,Paradise Point,South Indian,4.9,1908,2,29,False,28.56,77.1854,9AM-10PM,0.19
rest_0091,Tasty Kitchen,Italian,4.7,28,2,44,True,28.6988,77.1998,11AM-12AM,0.15
rest_0092,Royal Bites,Biryani,4.5,336,2,45,False,28.6402,77.1136,9AM-10PM,0.21
rest_0093,Fresh Eatery,Italian,4.6,550,3,35,False,28.6537,77.2863,10AM-11PM,0.19
rest_0094,Express Restaurant,Continental,4.9,15,2,53,False,28.5906,77.2623,10AM-11PM,0.23
rest_0095,Golden Restaurant,Fast Food,4.5,188,4,35,False,28.4125,77.2124,9AM-10PM,0.18
rest_0096,Corner Kitchen,Healthy,4.9,6636,2,47,False,28.462,77.2141,11AM-12AM,0.21
rest_0097,Express Grill,Italian,4.4,409,2,30,False,28.6775,77.0757,10AM-11PM,0.2
rest_0098,Fresh Palace,Fast Food,4.8,102,3,58,False,28.5098,77.197,11AM-12AM,0.15
rest_0099,Spicy Cafe,Beverages,4.3,64,3,50,True,28.4311,77.0595,24 hours,0.16
rest_0100,Express Kitchen,Desserts,4.6,10,2,33,True,28.6107,77.0432,11AM-12AM,0.18
rest_0101,Deluxe Cafe,North Indian,4.2,300,2,49,False,28.4898,77.2998,9AM-10PM,0.24
rest_0102,Royal Palace,Chinese,4.3,2756,4,48,True,28.4807,77.1867,11AM-12AM,0.16
rest_0103,Golden Hub,South Indian,4.5,43,1,50,True,28.6994,77.1293,10AM-11PM,0.22
rest_0104,Classic Hub,North Indian,4.8,10,3,20,False,28.6574,77.0864,9AM-10PM,0.25
rest_0105,Royal Palace,Italian,4.9,54,1,42,True,28.5224,77.1812,10AM-11PM,0.23
rest_0106,Paradise Palace,Fast Food,4.7,556,3,40,False,28.6941,77.0149,9AM-10PM,0.17
rest_0107,Deluxe Kitchen,Street Food,4.4,78,3,39,True,28.595,77.0284,10AM-11PM,0.24
rest_0108,Corner Restaurant,North Indian,4.6,43,2,37,False,28.6226,77.0099,11AM-12AM,0.16
rest_0109,Spicy Grill,Street Food,4.7,152,3,37,False,28.4095,77.1498,10AM-11PM,0.2
rest_0110,Tasty House,Italian,4.6,209,1,47,True,28.4365,77.1802,10AM-11PM,0.24
rest_0111,Deluxe Bites,Continental,4.4,18,2,40,False,28.5899,77.0187,10AM-11PM,0.21
rest_0112,Paradise Eatery,Biryani,4.9,107,2,37,True,28.6697,77.2164,24 hours,0.19
rest_0113,Royal Restaurant,Italian,4.6,70,2,46,False,28.5871,77.0691,24 hours,0.18
rest_0114,Classic House,South Indian,4.5,56,3,39,False,28.4402,77.2056,10AM-11PM,0.19
rest_0115,Golden Kitchen,Fast Food,4.7,32,1,40,False,28.4347,77.2946,24 hours,0.2
rest_0116,Spicy Kitchen,South Indian,4.8,609,1,53,False,28.6533,77.2073,9AM-10PM,0.18
rest_0117,Fresh Point,North Indian,4.4,56,1,30,False,28.4418,77.265,11AM-12AM,0.25
rest_0118,Paradise House,Street Food,4.5,10,2,20,False,28.5561,77.2845,10AM-11PM,0.24
rest_0119,Deluxe Hub,South Indian,4.8,220,2,35,False,28.4111,77.146,9AM-10PM,0.24
rest_0120,Royal Hub,Fast Food,4.3,440,3,37,True,28.4242,77.2107,11AM-12AM,0.19
rest_0121,Golden Grill,South Indian,4.8,44,4,42,False,28.6017,77.2556,9AM-10PM,0.22
rest_0122,Express Grill,Street Food,4.0,64,3,36,True,28.6068,77.107,9AM-10PM,0.24
rest_0123,Tasty Grill,South Indian,4.6,56,2,42,False,28.5024,77.0784,9AM-10PM,0.24
rest_0124,Golden Kitchen,Healthy,4.9,88,2,60,True,28.4647,77.284,11AM-12AM,0.19
rest_0125,Corner Palace,Fast Food,4.7,780,2,43,False,28.6441,77.2179,10AM-11PM,0.16
rest_0126,Express Grill,North Indian,4.5,125,2,44,True,28.4651,77.0659,10AM-11PM,0.16
rest_0127,Golden Hub,Italian,4.9,522,2,33,True,28.5626,77.1347,10AM-11PM,0.21
rest_0128,Deluxe Hub,Healthy,4.9,34,1,21,False,28.6905,77.2389,10AM-11PM,0.21
rest_0129,Deluxe Bites,Chinese,4.8,83,2,20,False,28.4444,77.1641,11AM-12AM,0.23
rest_0130,Spicy Bites,North Indian,4.7,620,4,29,False,28.6823,77.195,11AM-12AM,0.18
rest_0131,Express Hub,Chinese,4.8,44,2,20,True,28.4549,77.2261,9AM-10PM,0.17
rest_0132,Deluxe Palace,Chinese,4.4,677,2,40,True,28.5702,77.1866,10AM-11PM,0.19
rest_0133,Tasty Palace,Fast Food,4.5,57,1,31,False,28.5131,77.162,11AM-12AM,0.19
rest_0134,Tasty Point,Continental,4.3,91,2,21,False,28.6895,77.2249,10AM-11PM,0.16
rest_0135,Golden Grill,Chinese,4.8,1817,3,36,True,28.4821,77.2183,10AM-11PM,0.22
rest_0136,Corner Restaurant,South Indian,4.3,77,2,27,False,28.5199,77.189,10AM-11PM,0.2
rest_0137,Royal Kitchen,Italian,4.8,184,2,39,False,28.6949,77.1079,11AM-12AM,0.22
rest_0138,Tasty Hub,Chinese,4.7,374,1,42,False,28.5609,77.1217,10AM-11PM,0.19
rest_0139,Express Restaurant,North Indian,4.5,208,2,27,False,28.5508,77.2911,11AM-12AM,0.18
rest_0140,Express Cafe,Biryani,4.7,217,1,32,False,28.4773,77.0337,10AM-11PM,0.2
rest_0141,Express Hub,Continental,4.4,136,3,37,True,28.6104,77.0806,9AM-10PM,0.24
rest_0142,Express Grill,Continental,4.4,21,3,20,True,28.4043,77.1477,9AM-10PM,0.15
rest_0143,Spicy Point,Fast Food,4.6,250,3,37,False,28.4149,77.251,24 hours,0.23
rest_0144,Tasty Kitchen,Chinese,4.0,49,2,20,False,28.5798,77.0491,9AM-10PM,0.19
rest_0145,Fresh Hub,Fast Food,4.7,475,3,40,False,28.5025,77.0831,9AM-10PM,0.24
rest_0146,Golden Hub,Chinese,4.7,1162,2,30,False,28.686,77.0197,9AM-10PM,0.23
rest_0147,Tasty Kitchen,North Indian,4.5,10,2,20,False,28.671,77.2118,11AM-12AM,0.18
rest_0148,Fresh Cafe,Chinese,4.4,1165,3,29,False,28.6141,77.0715,10AM-11PM,0.22
rest_0149,Royal House,Chinese,4.5,80,1,29,True,28.6454,77.1166,10AM-11PM,0.17
rest_0150,Fresh Grill,Continental,4.4,121,1,45,True,28.6002,77.1331,10AM-11PM,0.24
rest_0151,Tasty Point,North Indian,4.7,37,3,36,False,28.4377,77.2674,11AM-12AM,0.19
rest_0152,Royal Kitchen,North Indian,4.8,196,2,25,False,28.6297,77.1234,11AM-12AM,0.2
rest_0153,Golden Point,South Indian,4.2,164,2,51,True,28.4631,77.0436,9AM-10PM,0.22
rest_0154,Paradise Kitchen,South Indian,4.9,746,2,41,False,28.497,77.1573,24 hours,0.23
rest_0155,Royal Bites,Fast Food,4.3,48,3,31,False,28.6458,77.2889,10AM-11PM,0.17
rest_0156,Deluxe Eatery,South Indian,4.6,1792,4,20,False,28.561,77.1823,11AM-12AM,0.22
rest_0157,Express Eatery,Italian,4.8,402,3,30,True,28.658,77.295,24 hours,0.19
rest_0158,Royal Grill,Chinese,4.7,170,2,32,False,28.4639,77.2523,10AM-11PM,0.19
rest_0159,Corner Bites,Italian,4.4,113,2,38,True,28.5823,77.0108,11AM-12AM,0.22
rest_0160,Express Restaurant,Street Food,4.2,93,2,41,False,28.4251,77.1975,10AM-11PM,0.19
rest_0161,Spicy Eatery,Chinese,4.3,103,1,43,True,28.5929,77.086,11AM-12AM,0.18
rest_0162,Spicy Eatery,Fast Food,4.8,191,1,20,False,28.6288,77.1679,10AM-11PM,0.23
rest_0163,Tasty Grill,Chinese,4.9,108,2,37,True,28.5755,77.0838,9AM-10PM,0.16
rest_0164,Tasty House,South Indian,4.5,56,2,33,False,28.4799,77.1047,11AM-12AM,0.22
rest_0165,Express Restaurant,Beverages,4.8,192,4,60,False,28.4094,77.277,10AM-11PM,0.17
rest_0166,Classic Restaurant,North Indian,4.8,42,2,35,True,28.4358,77.062,10AM-11PM,0.15
rest_0167,Classic Hub,North Indian,4.7,240,2,28,False,28.5867,77.2622,10AM-11PM,0.17
rest_0168,Spicy House,Fast Food,4.3,106,1,36,True,28.6803,77.0091,24 hours,0.21
rest_0169,Corner Eatery,North Indian,4.5,422,4,34,False,28.462,77.0273,11AM-12AM,0.22
rest_0170,Paradise House,Street Food,4.8,654,3,20,False,28.6205,77.2564,10AM-11PM,0.15
rest_0171,Golden Palace,Chinese,4.3,653,3,39,False,28.6599,77.1892,10AM-11PM,0.15
rest_0172,Tasty Grill,Biryani,4.7,239,4,31,False,28.5563,77.2242,11AM-12AM,0.24
rest_0173,Royal Restaurant,Continental,4.6,284,2,34,False,28.6008,77.0628,11AM-12AM,0.16
rest_0174,Spicy Bites,Italian,4.5,91,2,26,False,28.6445,77.1611,11AM-12AM,0.24
rest_0175,Paradise Cafe,Desserts,4.4,410,2,24,True,28.4782,77.2212,10AM-11PM,0.17
rest_0176,Royal House,Chinese,4.7,485,2,43,False,28.4891,77.1882,11AM-12AM,0.22
rest_0177,Classic Cafe,Beverages,4.8,14,2,46,False,28.4002,77.1415,11AM-12AM,0.18
rest_0178,Classic Eatery,North Indian,4.3,261,2,39,True,28.6889,77.2879,24 hours,0.24
rest_0179,Express Kitchen,Chinese,4.8,1155,4,20,False,28.6753,77.2028,9AM-10PM,0.22
rest_0180,Golden Eatery,South Indian,4.8,86,4,39,True,28.6294,77.2723,11AM-12AM,0.19
rest_0181,Express Cafe,Italian,4.9,62,3,20,False,28.4237,77.2189,11AM-12AM,0.16
rest_0182,Fresh Kitchen,North Indian,3.8,79,3,28,True,28.5343,77.2206,10AM-11PM,0.22
rest_0183,Corner Point,Street Food,4.0,15,3,43,False,28.4306,77.024,9AM-10PM,0.21
rest_0184,Fresh Restaurant,Street Food,4.8,179,2,41,False,28.4048,77.1078,10AM-11PM,0.15
rest_0185,Golden Cafe,Beverages,4.6,155,1,39,True,28.5849,77.2575,10AM-11PM,0.15
rest_0186,Golden Hub,North Indian,4.8,199,3,48,True,28.6882,77.0698,10AM-11PM,0.23
rest_0187,Paradise Grill,Italian,4.5,276,3,40,False,28.6709,77.0347,9AM-10PM,0.18
rest_0188,Golden Bites,Chinese,4.4,44,1,20,False,28.609,77.0978,10AM-11PM,0.21
rest_0189,Classic Hub,South Indian,4.8,223,4,31,True,28.429,77.0661,10AM-11PM,0.2
rest_0190,Tasty Grill,South Indian,4.7,288,1,34,True,28.4822,77.2776,10AM-11PM,0.24
rest_0191,Royal Eatery,Chinese,4.1,71,2,33,False,28.496,77.2604,10AM-11PM,0.24
rest_0192,Paradise Eatery,Continental,4.4,278,3,28,False,28.6289,77.1499,10AM-11PM,0.25
rest_0193,Fresh Eatery,Italian,4.8,167,2,24,False,28.6407,77.0184,9AM-10PM,0.17
rest_0194,Fresh Restaurant,Chinese,4.4,57,1,59,False,28.5155,77.2144,9AM-10PM,0.24
rest_0195,Deluxe Point,North Indian,4.7,226,2,31,True,28.5254,77.187,10AM-11PM,0.18
rest_0196,Tasty Eatery,North Indian,4.5,95,3,58,False,28.4134,77.2912,9AM-10PM,0.21
rest_0197,Classic Kitchen,North Indian,4.4,422,2,23,False,28.4867,77.1677,11AM-12AM,0.2
rest_0198,Spicy Cafe,Beverages,4.8,103,3,41,True,28.5354,77.1009,10AM-11PM,0.15
rest_0199,Deluxe Grill,North Indian,4.8,21,2,37,False,28.4351,77.1557,11AM-12AM,0.24
rest_0200,Fresh Kitchen,North Indian,4.5,221,1,25,False,28.536,77.2938,24 hours,0.16
rest_0201,Paradise Point,South Indian,4.8,209,4,30,False,28.656,77.2089,10AM-11PM,0.22
rest_0202,Express Restaurant,Fast Food,4.6,29,1,34,False,28.5744,77.2016,10AM-11PM,0.23
rest_0203,Royal Eatery,Beverages,4.6,457,4,26,True,28.4237,77.0722,9AM-10PM,0.23
rest_0204,Royal Point,Fast Food,4.5,422,2,32,False,28.4575,77.2231,11AM-12AM,0.16
rest_0205,Express House,Continental,4.3,40,4,20,False,28.5424,77.2251,10AM-11PM,0.19
rest_0206,Fresh Kitchen,Chinese,4.0,55,1,42,True,28.5084,77.0952,11AM-12AM,0.23
rest_0207,Golden Point,North Indian,4.7,119,2,47,False,28.5076,77.1451,11AM-12AM,0.18
rest_0208,Classic Eatery,Beverages,4.8,47,2,39,False,28.5588,77.0884,9AM-10PM,0.2
rest_0209,Fresh Restaurant,Fast Food,4.4,387,1,57,False,28.5753,77.0776,11AM-12AM,0.18
rest_0210,Golden Kitchen,Italian,4.4,185,3,41,False,28.6391,77.0078,10AM-11PM,0.2
rest_0211,Fresh Restaurant,Fast Food,4.2,28,2,46,False,28.5023,77.0856,11AM-12AM,0.24
rest_0212,Classic Eatery,Continental,4.6,43,2,47,False,28.6416,77.1662,11AM-12AM,0.2
rest_0213,Express Point,Italian,4.2,881,1,20,False,28.5016,77.0005,10AM-11PM,0.21
rest_0214,Golden Bites,Healthy,4.2,1485,2,39,False,28.4166,77.085,11AM-12AM,0.19
rest_0215,Golden Eatery,Biryani,4.5,332,3,21,True,28.5663,77.2644,9AM-10PM,0.2
rest_0216,Classic Hub,Italian,4.8,108,2,23,False,28.5764,77.1781,10AM-11PM,0.15
rest_0217,Classic Kitchen,Continental,4.7,76,3,24,False,28.6804,77.1824,11AM-12AM,0.18
rest_0218,Corner Point,North Indian,4.8,338,3,31,False,28.6178,77.121,10AM-11PM,0.19
rest_0219,Golden Grill,Continental,4.9,166,3,41,False,28.6753,77.2029,10AM-11PM,0.21
rest_0220,Paradise Bites,North Indian,4.8,13,2,39,False,28.6725,77.057,10AM-11PM,0.2
rest_0221,Tasty Palace,Italian,4.8,697,3,34,False,28.5814,77.2456,10AM-11PM,0.18
rest_0222,Corner Bites,Cafe,4.7,1117,4,42,True,28.5583,77.035,9AM-10PM,0.19
rest_0223,Royal Kitchen,Italian,4.7,448,3,42,True,28.5672,77.1968,10AM-11PM,0.17
rest_0224,Tasty Hub,Chinese,4.4,28,2,39,False,28.6935,77.1023,11AM-12AM,0.24
rest_0225,Fresh Hub,South Indian,4.9,57,3,20,False,28.632,77.2243,10AM-11PM,0.2
rest_0226,Tasty Kitchen,North Indian,4.3,10,3,27,True,28.4319,77.1649,24 hours,0.15
rest_0227,Corner Eatery,Fast Food,4.4,1626,3,35,True,28.6335,77.1357,11AM-12AM,0.15
rest_0228,Spicy Hub,North Indian,4.8,86,1,42,False,28.4512,77.0508,11AM-12AM,0.25
rest_0229,Spicy Hub,North Indian,4.9,4914,2,21,False,28.5342,77.191,10AM-11PM,0.17
rest_0230,Paradise Kitchen,Chinese,4.9,2787,3,34,False,28.4631,77.2924,10AM-11PM,0.23
rest_0231,Classic Grill,Fast Food,4.6,38,2,20,False,28.6069,77.2477,10AM-11PM,0.16
rest_0232,Classic Eatery,Fast Food,4.9,51,3,45,True,28.6632,77.018,9AM-10PM,0.24
rest_0233,Classic Bites,North Indian,4.8,298,2,37,False,28.4871,77.1129,10AM-11PM,0.24
rest_0234,Royal House,Chinese,4.7,10,2,21,False,28.4246,77.2777,11AM-12AM,0.21
rest_0235,Paradise Palace,Chinese,4.5,76,1,21,False,28.4895,77.1509,11AM-12AM,0.15
rest_0236,Classic Point,Italian,4.5,66,2,38,True,28.6017,77.1986,10AM-11PM,0.18
rest_0237,Spicy Grill,Continental,4.9,2384,4,48,True,28.4986,77.2738,11AM-12AM,0.19
rest_0238,Golden House,South Indian,4.5,188,3,24,True,28.4834,77.2621,11AM-12AM,0.2
rest_0239,Fresh House,Italian,4.8,96,3,42,False,28.4553,77.1505,11AM-12AM,0.18
rest_0240,Golden Eatery,Chinese,4.9,57,2,29,False,28.5493,77.1313,10AM-11PM,0.15
rest_0241,Fresh House,Biryani,4.8,567,3,43,False,28.4828,77.1019,10AM-11PM,0.21
rest_0242,Corner Hub,Italian,4.7,70,3,41,False,28.6193,77.2157,10AM-11PM,0.2
rest_0243,Tasty Hub,Chinese,4.9,137,2,36,False,28.423,77.0861,9AM-10PM,0.18
rest_0244,Golden Bites,Chinese,4.7,56,1,20,False,28.5992,77.075,11AM-12AM,0.15
rest_0245,Tasty Restaurant,Italian,4.9,15,3,41,True,28.4713,77.1069,10AM-11PM,0.25
rest_0246,Corner Restaurant,Fast Food,4.5,33,3,40,False,28.5468,77.0532,9AM-10PM,0.2
rest_0247,Fresh Kitchen,Italian,4.4,69,4,39,False,28.4858,77.2085,10AM-11PM,0.23
rest_0248,Paradise Restaurant,Continental,4.7,99,1,36,False,28.6168,77.1849,9AM-10PM,0.2
rest_0249,Deluxe Hub,Fast Food,4.5,106,3,26,False,28.6836,77.1449,24 hours,0.15
rest_0250,Deluxe Kitchen,Chinese,4.8,129,2,45,False,28.6751,77.1171,9AM-10PM,0.18
rest_0251,Tasty Palace,Chinese,4.5,71,2,43,False,28.575,77.2727,9AM-10PM,0.18
rest_0252,Deluxe Cafe,Street Food,4.8,1122,1,24,False,28.5388,77.0087,10AM-11PM,0.23
rest_0253,Royal Kitchen,Chinese,4.0,615,2,48,False,28.6455,77.2307,10AM-11PM,0.22
rest_0254,Golden House,Chinese,4.5,121,2,36,False,28.605,77.2706,11AM-12AM,0.18
rest_0255,Royal House,Cafe,4.7,217,2,36,False,28.4551,77.1339,10AM-11PM,0.25
rest_0256,Paradise Palace,North Indian,4.4,84,3,33,True,28.6463,77.1652,10AM-11PM,0.18
rest_0257,Royal Eatery,North Indian,4.8,10,3,34,False,28.5287,77.2833,11AM-12AM,0.25
rest_0258,Fresh Point,Chinese,4.9,153,2,48,False,28.4567,77.0637,10AM-11PM,0.25
rest_0259,Royal House,Desserts,4.7,234,4,45,True,28.4845,77.156,9AM-10PM,0.17
rest_0260,Golden Point,North Indian,4.3,13,2,45,True,28.4803,77.1424,9AM-10PM,0.18
rest_0261,Golden Point,North Indian,4.9,313,2,36,True,28.5558,77.0775,9AM-10PM,0.2
rest_0262,Paradise House,North Indian,4.6,97,3,43,False,28.4703,77.2456,11AM-12AM,0.22
