user_id,total_orders,avg_order_value,favorite_cuisine,price_sensitivity,avg_rating_given,dietary_preference,preferred_meal_time,location_lat,location_lon,days_since_last_order
user_000034,4,150.0,Desserts,high,4.6,non_veg,lunch,28.5206,77.2657,14
user_000035,8,473.86,Cafe,medium,4.9,non_veg,dinner,28.665,77.0129,33
user_000036,3,452.43,South Indian,high,4.8,non_veg,snacks,28.4788,77.054,12
user_000037,112,443.78,Biryani,medium,4.9,non_veg,lunch,28.6519,77.2028,26
user_000038,1,300.46,Biryani,high,4.9,non_veg,breakfast,28.4462,77.2521,34
user_000039,2,709.61,Street Food,high,4.7,non_veg,snacks,28.5324,77.053,15
user_000040,11,538.18,Italian,medium,4.6,non_veg,lunch,28.5617,77.1298,19
user_000041,5,150.0,North Indian,low,4.4,vegan,snacks,28.6955,77.1827,20
user_000042,2,432.96,Chinese,medium,4.6,no_preference,snacks,28.5768,77.0017,2
user_000043,14,377.51,Biryani,low,4.6,veg,dinner,28.6812,77.143,1
user_000044,4,284.94,Healthy,low,4.4,non_veg,breakfast,28.6016,77.2384,17
user_000045,4,186.58,Street Food,medium,5.0,veg,breakfast,28.5441,77.1322,16
user_000046,5,283.91,Continental,medium,4.6,vegan,dinner,28.4319,77.0077,0
user_000047,1,392.62,Continental,medium,4.5,no_preference,breakfast,28.5835,77.2682,2
user_000048,1,804.58,Continental,medium,4.9,non_veg,dinner,28.4774,77.2279,67
user_000049,16,722.6,Fast Food,high,4.5,non_veg,lunch,28.6347,77.0202,1
user_000050,1,496.89,Continental,low,4.4,non_veg,lunch,28.5924,77.2227,10
user_000051,3,285.9,North Indian,medium,4.5,non_veg,lunch,28.4697,77.0216,7
user_000052,31,380.35,North Indian,high,4.8,non_veg,lunch,28.5321,77.0191,38
user_000053,4,456.93,South Indian,medium,4.5,no_preference,snacks,28.4817,77.1575,24
user_000054,3,290.31,Cafe,high,4.5,no_preference,dinner,28.5731,77.2567,16
user_000055,13,178.73,Italian,high,4.6,veg,dinner,28.4869,77.2366,30
user_000056,2,703.8,Italian,low,4.8,non_veg,dinner,28.5541,77.1597,6
user_000057,18,438.65,Chinese,medium,4.5,non_veg,dinner,28.4544,77.1966,23
user_000058,12,759.53,Beverages,high,4.4,non_veg,dinner,28.4007,77.171,3
user_000059,40,150.0,Desserts,low,4.6,no_preference,dinner,28.6296,77.2448,2
user_000060,1,862.75,Beverages,low,4.1,veg,lunch,28.5295,77.2657,14
user_000061,23,603.89,Fast Food,high,4.9,no_preference,lunch,28.6158,77.0873,10
user_000062,8,167.39,Healthy,high,4.0,non_veg,dinner,28.641,77.1242,6
user_000063,1,265.96,Italian,high,4.3,non_veg,dinner,28.6398,77.2253,2
user_000064,1,771.08,Fast Food,low,4.6,non_veg,dinner,28.4648,77.2315,21
user_000065,1,230.95,Continental,low,4.8,veg,dinner,28.4026,77.0836,0
user_000066,6,257.37,Desserts,medium,4.6,vegan,lunch,28.6319,77.1766,4
user_000067,7,428.85,Continental,medium,4.9,no_preference,dinner,28.6896,77.0695,5
user_000068,4,150.0,Chinese,low,4.8,non_veg,lunch,28.495,77.2999,5
user_000069,4,171.63,Desserts,high,4.4,veg,lunch,28.4177,77.2128,6
user_000070,3,713.19,Biryani,medium,4.4,no_preference,lunch,28.5722,77.1323,14
user_000071,15,556.02,Beverages,medium,4.3,no_preference,dinner,28.5197,77.1942,6
user_000072,1,150.0,Continental,high,4.4,no_preference,dinner,28.5101,77.1302,5
user_000073,6,254.36,Street Food,high,4.8,vegan,breakfast,28.5915,77.0881,22
user_000074,1,307.26,Healthy,high,4.6,non_veg,dinner,28.5654,77.0615,2
user_000075,1,406.2,Beverages,low,4.7,non_veg,lunch,28.4857,77.2928,25
user_000076,18,177.74,Biryani,medium,4.5,non_veg,dinner,28.4893,77.0378,24
user_000077,1,227.53,North Indian,high,4.2,veg,lunch,28.6235,77.2589,14
user_000078,3,150.0,North Indian,high,4.0,veg,lunch,28.6637,77.1231,1
user_000079,47,179.88,Beverages,high,4.6,no_preference,dinner,28.4168,77.0265,2
user_000080,12,221.12,Street Food,medium,4.7,no_preference,dinner,28.6869,77.1594,2
user_000081,2,512.36,Italian,low,4.2,non_veg,dinner,28.4894,77.0463,2
user_000082,2,998.57,Biryani,high,4.8,veg,lunch,28.6871,77.06,5
user_000083,1,441.81,Desserts,medium,4.7,non_veg,dinner,28.5265,77.1218,1
user_000084,21,220.73,North Indian,low,4.8,veg,dinner,28.598,77.1623,6
user_000085,15,434.07,Continental,medium,4.8,veg,dinner,28.6368,77.075,0
user_000086,10,198.97,Chinese,medium,4.4,non_veg,dinner,28.5555,77.2333,11
user_000087,11,596.25,Fast Food,high,4.6,vegan,lunch,28.5801,77.0006,2
user_000088,1,628.12,Italian,medium,4.9,non_veg,dinner,28.627,77.014,1
user_000089,1,460.55,Continental,medium,4.7,no_preference,snacks,28.5581,77.2443,3
user_000090,8,400.37,Street Food,low,4.6,non_veg,lunch,28.5749,77.1921,3
user_000091,13,221.17,Desserts,low,4.5,non_veg,snacks,28.4812,77.1417,3
user_000092,30,554.93,Fast Food,low,4.5,non_veg,lunch,28.6559,77.1497,0
user_000093,3,374.01,Fast Food,medium,3.7,non_veg,dinner,28.6965,77.1987,3
user_000094,2,388.74,Fast Food,high,4.5,vegan,dinner,28.5136,77.2503,9
user_000095,3,386.31,North Indian,low,4.7,veg,dinner,28.4445,77.074,12
user_000096,10,537.12,South Indian,low,4.3,vegan,dinner,28.5209,77.293,5
user_000097,3,317.0,Italian,low,4.7,non_veg,lunch,28.587,77.1026,13
user_000098,4,324.88,Continental,medium,4.6,non_veg,lunch,28.4261,77.2223,3
user_000099,12,364.53,Continental,high,4.6,vegan,dinner,28.6915,77.072,22
user_000100,2,400.23,Street Food,high,4.6,non_veg,lunch,28.5196,77.2868,40
user_000101,23,209.89,Cafe,medium,4.8,non_veg,lunch,28.5354,77.2716,22
user_000102,9,506.66,South Indian,medium,4.3,non_veg,dinner,28.416,77.1573,16
user_000103,1,462.44,Continental,medium,4.2,vegan,breakfast,28.4234,77.0185,5
user_000104,2,289.34,North Indian,high,4.9,non_veg,lunch,28.6131,77.15,9
user_000105,1,530.43,Italian,medium,4.2,no_preference,dinner,28.4864,77.0673,0
user_000106,3,340.86,Cafe,low,4.1,non_veg,lunch,28.6399,77.0033,6
user_000107,2,546.05,Continental,medium,4.4,non_veg,lunch,28.5028,77.2625,23
user_000108,12,595.59,Cafe,medium,4.8,non_veg,lunch,28.6169,77.1275,32
user_000109,1,541.99,Desserts,medium,4.7,non_veg,dinner,28.4654,77.1631,17
user_000110,7,411.65,Biryani,medium,4.7,no_preference,lunch,28.4436,77.0179,12
user_000111,8,530.62,Chinese,high,4.7,non_veg,lunch,28.4967,77.2713,36
user_000112,6,150.0,South Indian,low,4.9,no_preference,lunch,28.6395,77.058,3
user_000113,17,719.7,Beverages,medium,4.8,veg,snacks,28.6752,77.1835,4
user_000114,53,460.96,Street Food,high,4.7,no_preference,lunch,28.4202,77.1459,4
user_000115,5,416.19,Desserts,medium,4.6,non_veg,lunch,28.5813,77.1012,1
user_000116,7,374.71,Italian,low,4.8,veg,dinner,28.6702,77.2174,5
user_000117,1,659.03,North Indian,medium,4.3,veg,snacks,28.466,77.0325,6
user_000118,1,230.29,North Indian,high,4.6,no_preference,lunch,28.5016,77.0881,2
user_000119,15,376.18,Healthy,low,4.4,non_veg,snacks,28.6572,77.1417,20
user_000120,13,352.27,Cafe,low,4.3,veg,breakfast,28.6646,77.0122,30
user_000121,1,721.19,Italian,medium,4.3,non_veg,lunch,28.5851,77.021,9
user_000122,1,210.18,Desserts,low,4.6,veg,lunch,28.4142,77.2895,4
user_000123,2,336.73,Fast Food,high,4.6,veg,lunch,28.5255,77.2619,4
user_000124,3,373.76,Chinese,medium,4.4,non_veg,dinner,28.5568,77.0499,2
user_000125,2,154.02,Continental,medium,4.6,non_veg,dinner,28.4065,77.2009,12
user_000126,5,196.27,Fast Food,medium,4.9,non_veg,lunch,28.5471,77.1496,10
user_000127,13,475.19,South Indian,low,4.5,vegan,lunch,28.4219,77.0203,35
user_000128,7,261.17,Chinese,medium,4.5,non_veg,dinner,28.5074,77.2519,3
user_000129,8,542.9,Continental,low,4.8,veg,breakfast,28.5381,77.1803,6
user_000130,1,202.19,Beverages,medium,4.6,veg,dinner,28.5777,77.0522,8
user_000131,1,715.24,Fast Food,high,4.2,no_preference,lunch,28.4009,77.1564,14
user_000132,1,369.04,Italian,medium,4.5,non_veg,dinner,28.4782,77.2679,17
user_000133,2,927.51,Street Food,low,4.5,veg,dinner,28.5826,77.0295,6
user_000134,12,770.52,Healthy,low,4.4,no_preference,dinner,28.6064,77.0898,17
user_000135,1,345.11,Chinese,low,4.8,non_veg,dinner,28.5153,77.1934,5
user_000136,9,298.57,South Indian,medium,4.8,veg,dinner,28.5745,77.2983,30
user_000137,1,150.0,Cafe,high,4.6,no_preference,snacks,28.625,77.0638,23
user_000138,1,486.24,Fast Food,medium,4.8,non_veg,snacks,28.421,77.2798,0
user_000139,1,186.1,Fast Food,medium,4.8,non_veg,dinner,28.5891,77.2618,0
user_000140,67,156.25,Biryani,medium,5.0,non_veg,dinner,28.4702,77.1211,10
user_000141,1,263.99,Fast Food,high,4.8,non_veg,dinner,28.4599,77.186,5
user_000142,10,348.59,Cafe,low,4.9,non_veg,dinner,28.676,77.1889,10
user_000143,1,232.47,Beverages,high,4.4,non_veg,lunch,28.635,77.1125,3
user_000144,24,150.0,Fast Food,low,4.1,non_veg,dinner,28.4592,77.1232,1
user_000145,6,834.96,Healthy,medium,4.6,non_veg,lunch,28.5379,77.1309,16
user_000146,6,336.27,Italian,low,4.4,veg,lunch,28.6154,77.0111,21
user_000147,7,444.37,Cafe,medium,4.2,non_veg,dinner,28.533,77.0083,15
user_000148,8,150.0,Italian,high,4.5,veg,dinner,28.5941,77.0738,2
user_000149,11,901.08,Biryani,medium,4.6,non_veg,lunch,28.5676,77.1172,0
user_000150,2,295.74,Desserts,high,4.3,non_veg,lunch,28.4537,77.1136,23
user_000151,2,150.0,Beverages,low,4.4,veg,lunch,28.4055,77.0484,6
user_000152,4,463.27,Biryani,low,4.5,non_veg,lunch,28.5646,77.1545,16
user_000153,10,551.86,Continental,medium,4.5,no_preference,lunch,28.5134,77.0793,1
user_000154,4,513.75,Fast Food,medium,4.6,non_veg,dinner,28.6789,77.2135,18
user_000155,11,172.57,Continental,high,4.8,no_preference,snacks,28.575,77.247,0
user_000156,9,403.41,Cafe,medium,4.4,non_veg,dinner,28.4796,77.1622,10
user_000157,3,292.79,Cafe,low,4.5,non_veg,snacks,28.5714,77.2513,15
user_000158,1,360.21,Fast Food,low,4.7,vegan,dinner,28.5883,77.2735,1
user_000159,2,150.0,Desserts,medium,4.9,non_veg,lunch,28.6419,77.0137,6
user_000160,36,601.63,Healthy,high,3.9,veg,breakfast,28.4857,77.1009,0
user_000161,6,469.23,Cafe,high,4.7,non_veg,lunch,28.4739,77.1445,28
user_000162,2,428.84,Healthy,low,4.6,veg,dinner,28.4846,77.1678,9
user_000163,6,414.65,Continental,high,4.0,no_preference,breakfast,28.6691,77.2666,5
user_000164,10,354.24,Cafe,medium,4.6,non_veg,lunch,28.6462,77.1085,14
user_000165,2,348.36,Italian,high,4.2,non_veg,dinner,28.5642,77.1666,2
user_000166,19,306.97,North Indian,low,4.7,no_preference,dinner,28.5505,77.293,13
user_000167,8,184.07,Biryani,high,4.4,veg,dinner,28.623,77.1771,0
user_000168,1,257.48,Healthy,medium,4.7,non_veg,dinner,28.4432,77.2934,1
user_000169,12,328.83,Street Food,high,4.7,non_veg,snacks,28.6596,77.0339,3
user_000170,2,304.0,Continental,medium,3.9,non_veg,dinner,28.4535,77.1238,0
user_000171,3,368.91,Biryani,low,4.7,no_preference,lunch,28.5864,77.2216,3
user_000172,1,710.78,Fast Food,high,4.8,veg,lunch,28.6765,77.2908,6
user_000173,9,150.0,Italian,low,4.5,no_preference,dinner,28.5771,77.1447,30
user_000174,3,569.73,South Indian,high,4.9,non_veg,breakfast,28.6145,77.0234,3
user_000175,10,195.23,South Indian,medium,4.5,non_veg,snacks,28.6009,77.124,7
user_000176,2,150.0,Italian,low,4.9,no_preference,lunch,28.478,77.0693,1
user_000177,2,333.02,Italian,medium,4.2,non_veg,dinner,28.5488,77.1039,7
user_000178,1,211.68,Continental,high,4.7,non_veg,snacks,28.447,77.1276,7
user_000179,7,266.2,Beverages,low,4.8,vegan,lunch,28.5952,77.2247,0
user_000180,1,150.0,Italian,high,4.9,non_veg,snacks,28.4521,77.2559,8
user_000181,3,173.71,Beverages,high,4.7,non_veg,dinner,28.6257,77.1119,7
user_000182,2,411.49,Continental,low,4.5,no_preference,lunch,28.5251,77.0212,8
user_000183,7,514.55,Beverages,medium,4.6,veg,dinner,28.4391,77.1432,0
user_000184,1,238.56,South Indian,medium,4.1,veg,dinner,28.6174,77.058,7
user_000185,6,461.9,Street Food,high,4.9,no_preference,dinner,28.6146,77.2235,12
user_000186,35,268.45,Healthy,medium,4.5,non_veg,lunch,28.6889,77.2447,1
user_000187,19,242.0,Italian,medium,4.6,non_veg,lunch,28.4283,77.1142,12
user_000188,2,176.71,Cafe,medium,4.6,non_veg,snacks,28.5605,77.0317,7
user_000189,8,358.71,Street Food,medium,4.6,non_veg,dinner,28.4357,77.1876,4
user_000190,6,150.14,Continental,medium,4.5,veg,dinner,28.579,77.0305,7
user_000191,26,150.0,Fast Food,high,4.7,no_preference,lunch,28.5448,77.2867,25
user_000192,1,209.48,Chinese,high,4.9,veg,lunch,28.507,77.1683,0
user_000193,17,513.7,Desserts,medium,4.8,veg,lunch,28.4616,77.2075,6
user_000194,3,281.97,Street Food,medium,4.4,no_preference,dinner,28.527,77.0583,3
user_000195,1,179.21,Cafe,low,4.3,veg,snacks,28.4979,77.0553,12
user_000196,1,395.41,Chinese,medium,3.9,veg,dinner,28.5757,77.023,11
user_000197,1,386.98,Desserts,medium,4.5,non_veg,lunch,28.6777,77.1143,5
user_000198,2,210.52,Desserts,high,4.7,non_veg,dinner,28.5496,77.105,8
user_000199,1,404.0,Desserts,low,4.5,non_veg,lunch,28.5722,77.1216,2
user_000200,5,357.28,Continental,medium,4.2,no_preference,lunch,28.4856,77.2322,15
user_000201,9,414.78,Fast Food,medium,4.8,no_preference,dinner,28.4661,77.254,0
user_000202,3,457.11,North Indian,low,4.7,non_veg,dinner,28.6557,77.1833,1
user_000203,27,262.45,North Indian,low,4.9,non_veg,breakfast,28.6923,77.0136,0
user_000204,2,312.23,North Indian,low,4.8,veg,dinner,28.519,77.202,0
user_000205,3,150.0,Biryani,medium,4.7,veg,dinner,28.6281,77.1902,7
user_000206,2,833.35,Street Food,low,4.8,non_veg,dinner,28.5993,77.0373,3
user_000207,9,449.22,South Indian,high,4.5,vegan,dinner,28.6621,77.018,11
user_000208,10,212.27,Fast Food,low,4.4,non_veg,dinner,28.4022,77.1914,5
user_000209,8,348.9,Beverages,low,4.4,veg,breakfast,28.4012,77.1827,1
user_000210,3,150.0,Chinese,medium,4.2,non_veg,lunch,28.64,77.0947,7
user_000211,1,489.23,Continental,low,4.8,veg,dinner,28.5773,77.0052,3
user_000212,3,184.42,Continental,high,4.9,no_preference,dinner,28.5278,77.0544,6
user_000213,26,637.69,Healthy,medium,4.0,veg,dinner,28.5741,77.2093,7
user_000214,15,229.43,Fast Food,low,4.8,non_veg,dinner,28.5015,77.1282,7
user_000215,6,221.79,Desserts,high,4.5,veg,lunch,28.6374,77.2743,25
user_000216,2,324.2,Chinese,medium,4.2,non_veg,dinner,28.6004,77.2878,0
user_000217,4,972.27,Italian,medium,4.7,veg,lunch,28.4532,77.1291,8
user_000218,2,391.08,Chinese,low,4.4,veg,dinner,28.499,77.0014,8
user_000219,18,609.44,North Indian,high,4.5,vegan,lunch,28.4928,77.0433,3
user_000220,1,515.78,Street Food,high,4.6,veg,lunch,28.6604,77.2752,6
user_000221,13,352.91,Cafe,high,4.4,no_preference,breakfast,28.4712,77.0492,9
user_000222,2,383.96,Healthy,high,4.9,veg,dinner,28.4138,77.1411,23
user_000223,21,201.32,Continental,medium,5.0,veg,dinner,28.541,77.0885,6
user_000224,7,150.0,Beverages,low,4.7,non_veg,lunch,28.6108,77.1877,17
user_000225,1,965.14,Cafe,medium,4.7,non_veg,dinner,28.4113,77.2463,0
user_000226,3,431.53,Desserts,medium,4.6,veg,lunch,28.6185,77.1596,7
user_000227,10,462.51,Continental,medium,5.0,no_preference,lunch,28.4456,77.0093,0
user_000228,2,306.8,Continental,medium,4.2,veg,breakfast,28.4015,77.016,4
user_000229,4,376.31,Street Food,low,4.5,veg,dinner,28.6305,77.219,5
user_000230,2,220.37,Chinese,medium,4.9,non_veg,snacks,28.4337,77.1044,15
user_000231,37,258.62,Biryani,medium,4.2,non_veg,dinner,28.461,77.2644,13
user_000232,45,229.83,Healthy,medium,4.7,veg,breakfast,28.462,77.2302,0
user_000233,25,412.08,Fast Food,high,4.2,non_veg,lunch,28.6992,77.0985,15
user_000234,3,360.83,Cafe,medium,4.1,non_veg,lunch,28.4995,77.0772,7
user_000235,2,542.58,Beverages,medium,4.7,non_veg,lunch,28.4519,77.0896,1
user_000236,1,875.09,South Indian,low,4.9,veg,lunch,28.6178,77.1193,12
user_000237,28,281.33,Continental,medium,4.4,non_veg,lunch,28.5909,77.0987,2
user_000238,13,289.29,Fast Food,medium,4.7,no_preference,breakfast,28.4447,77.0887,16
user_000239,14,244.15,Fast Food,medium,4.6,non_veg,dinner,28.4204,77.1583,3
user_000240,3,297.02,Chinese,medium,4.1,non_veg,dinner,28.5439,77.0198,6
user_000241,1,810.26,Chinese,high,4.2,vegan,breakfast,28.4816,77.0082,19
user_000242,1,385.29,South Indian,high,4.2,no_preference,dinner,28.5012,77.1919,0
user_000243,4,276.72,Fast Food,low,4.8,no_preference,dinner,28.4546,77.2255,14
user_000244,2,424.88,Continental,low,4.3,no_preference,snacks,28.5342,77.0948,3
user_000245,2,515.62,Desserts,low,4.5,vegan,dinner,28.5376,77.1246,37
user_000246,6,309.05,Continental,high,4.6,non_veg,snacks,28.5177,77.1758,26
user_000247,15,741.1,Fast Food,medium,4.4,non_veg,breakfast,28.6769,77.1165,20
user_000248,1,323.82,Fast Food,medium,4.8,non_veg,dinner,28.6935,77.1052,5
user_000249,1,725.05,Continental,high,4.8,non_veg,lunch,28.5778,77.201,18
user_000250,1,490.71,Street Food,low,4.7,non_veg,dinner,28.5915,77.2311,26
user_000251,1,205.65,Italian,low,4.5,veg,dinner,28.4512,77.2972,22
user_000252,9,221.95,Fast Food,low,4.5,no_preference,dinner,28.6072,77.1012,17
user_000253,4,216.18,Continental,medium,4.7,veg,lunch,28.4895,77.2086,7
user_000254,42,596.79,Chinese,low,4.2,vegan,snacks,28.5757,77.0929,2
user_000255,10,619.5,North Indian,high,4.2,vegan,breakfast,28.4522,77.2932,2
user_000256,39,498.07,Street Food,high,4.7,non_veg,lunch,28.4434,77.2434,24
user_000257,1,317.27,Healthy,medium,4.8,vegan,lunch,28.5467,77.0236,0
user_000258,1,551.22,Biryani,medium,4.6,veg,lunch,28.571,77.2793,2
user_000259,5,252.31,North Indian,medium,4.8,non_veg,lunch,28.4291,77.2621,10
user_000260,5,550.77,Desserts,low,4.8,non_veg,breakfast,28.4285,77.1745,10
user_000261,3,379.08,South Indian,low,4.8,veg,dinner,28.5209,77.0752,18
user_000262,5,158.89,Fast Food,high,4.2,non_veg,lunch,28.5257,77.0801,23
user_000263,1,227.09,Fast Food,high,4.4,veg,lunch,28.6998,77.2242,7
user_000264,8,547.64,Chinese,low,4.6,non_veg,dinner,28.6465,77.0897,0
user_000265,10,230.35,Beverages,medium,4.0,veg,snacks,28.5811,77.1042,31
user_000266,1,756.39,Chinese,high,4.3,vegan,lunch,28.6085,77.0162,17
user_000267,2,1500.0,Italian,high,4.7,non_veg,snacks,28.6621,77.2143,2
user_000268,3,150.0,Healthy,medium,3.9,no_preference,breakfast,28.5383,77.2384,19
user_000269,2,377.27,Street Food,medium,4.2,veg,snacks,28.6528,77.1423,11
user_000270,1,232.52,South Indian,medium,4.5,non_veg,dinner,28.5696,77.1978,8
user_000271,4,302.18,Chinese,medium,4.4,no_preference,lunch,28.4137,77.258,1
user_000272,6,287.11,Italian,low,4.5,vegan,dinner,28.5006,77.1638,33
user_000273,2,362.96,North Indian,low,4.1,veg,breakfast,28.6513,77.058,7
user_000274,1,494.17,Beverages,medium,4.2,no_preference,lunch,28.4324,77.1964,7
user_000275,7,417.34,Cafe,medium,4.3,non_veg,dinner,28.5332,77.1011,2
user_000276,1,320.4,Healthy,high,4.9,no_preference,dinner,28.5855,77.2569,6
user_000277,3,240.13,Biryani,medium,4.3,non_veg,dinner,28.5907,77.2833,5
user_000278,2,150.0,Beverages,medium,4.4,veg,dinner,28.4645,77.2004,12
user_000279,19,465.47,Cafe,medium,4.6,non_veg,dinner,28.5336,77.2947,7
user_000280,1,281.71,Street Food,medium,4.6,non_veg,dinner,28.6836,77.1817,11
user_000281,35,150.0,Desserts,high,4.8,non_veg,lunch,28.6796,77.0176,0
user_000282,11,355.48,Cafe,low,4.9,no_preference,dinner,28.5637,77.1139,13
user_000283,39,150.0,Cafe,high,4.7,non_veg,lunch,28.6868,77.1552,12
user_000284,9,314.15,Cafe,low,4.1,veg,breakfast,28.5401,77.0843,4
user_000285,3,796.28,Desserts,low,4.7,veg,lunch,28.5241,77.0791,11
user_000286,1,731.51,North Indian,low,4.2,veg,lunch,28.6162,77.1479,8
user_000287,2,255.38,Desserts,low,4.3,veg,snacks,28.6617,77.0054,9
user_000288,26,445.61,Italian,high,3.6,non_veg,dinner,28.5602,77.0123,4
user_000289,4,560.72,Fast Food,low,4.4,veg,lunch,28.4346,77.1292,8
user_000290,9,472.51,Beverages,medium,4.7,non_veg,lunch,28.6502,77.063,1
user_000291,5,251.09,North Indian,medium,4.5,non_veg,dinner,28.4348,77.1415,6
user_000292,6,295.38,Continental,medium,4.4,veg,lunch,28.4227,77.2194,18
user_000293,6,328.88,Cafe,medium,4.3,no_preference,lunch,28.4238,77.0071,20
user_000294,8,257.68,Chinese,high,4.8,veg,breakfast,28.4899,77.2564,7
user_000295,1,590.88,Healthy,medium,4.7,veg,snacks,28.5093,77.0052,1
user_000296,3,443.65,North Indian,medium,4.9,vegan,breakfast,28.6392,77.0391,4
user_000297,6,236.27,North Indian,medium,4.5,no_preference,lunch,28.4561,77.0699,1
user_000298,5,450.27,Continental,low,4.7,veg,dinner,28.694,77.1006,14
user_000299,2,192.4,Chinese,medium,4.8,non_veg,dinner,28.4606,77.2468,40
user_000300,7,238.96,Street Food,medium,4.6,non_veg,lunch,28.6824,77.1756,1
user_000301,1,150.0,Desserts,low,4.6,veg,dinner,28.4386,77.198,11
user_000302,1,453.79,South Indian,low,4.7,non_veg,breakfast,28.6567,77.0921,5
user_000303,6,317.26,Street Food,low,3.7,veg,lunch,28.6807,77.0475,5
user_000304,1,529.79,Street Food,low,4.5,no_preference,snacks,28.6688,77.2173,7
user_000305,6,337.63,Biryani,high,4.7,non_veg,lunch,28.5277,77.0088,0
user_000306,1,379.26,Cafe,medium,3.8,non_veg,dinner,28.5717,77.0492,17
user_000307,1,402.72,Italian,medium,4.1,veg,dinner,28.6932,77.1555,4
user_000308,3,492.34,Continental,low,4.9,no_preference,breakfast,28.6141,77.1514,12
user_000309,1,854.51,Street Food,high,4.5,veg,breakfast,28.5613,77.281,6
user_000310,2,1155.95,Fast Food,low,4.5,non_veg,lunch,28.4464,77.089,0
user_000311,18,357.3,Biryani,high,4.4,no_preference,dinner,28.4241,77.0801,9
user_000312,1,285.03,Italian,high,4.0,non_veg,lunch,28.5677,77.2394,9
user_000313,2,365.46,Street Food,medium,4.3,veg,dinner,28.401,77.1855,22
user_000314,34,306.91,Street Food,medium,4.5,non_veg,dinner,28.4127,77.0103,1
user_000315,1,502.54,North Indian,medium,4.3,non_veg,lunch,28.5471,77.1494,5
user_000316,23,463.37,Healthy,high,4.3,non_veg,lunch,28.5462,77.1271,1
user_000317,3,314.85,Beverages,high,4.9,non_veg,breakfast,28.6992,77.2702,5
user_000318,5,523.92,Healthy,high,4.9,non_veg,dinner,28.5543,77.1171,6
user_000319,21,445.1,Biryani,low,4.2,non_veg,dinner,28.6782,77.2878,10
user_000320,2,540.77,Cafe,high,4.9,non_veg,lunch,28.6646,77.0511,14
user_000321,9,404.98,Desserts,high,4.6,veg,snacks,28.5803,77.2195,4
user_000322,12,715.97,Biryani,low,4.9,non_veg,snacks,28.4774,77.2545,1
user_000323,2,269.91,Chinese,medium,4.6,veg,breakfast,28.6745,77.1442,1
user_000324,1,357.03,Fast Food,high,4.4,veg,dinner,28.6481,77.1589,5
