restaurant_id,name,cuisine_type,avg_rating,total_reviews,price_range,avg_delivery_time,is_veg_only,location_lat,location_lon,operating_hours,commission_rate,total_orders,avg_order_value,total_revenue,avg_user_rating,unique_customers,popularity_score,repeat_customers,retention_rate,delivery_efficiency,value_score,restaurant_segment,cuisine_type_encoded,is_veg_only_int
rest_0031,Spicy Eatery,Street Food,4.9,1395,2,36,False,28.6217,77.2154,10AM-11PM,0.2,762,408.9291601049869,311604.02,4.542913385826772,557,0.5059980935013263,150,0.26929982046678635,0.6,2.45,popular,11,0
rest_0032,Spicy Eatery,Desserts,4.6,327,3,36,False,28.4088,77.1744,10AM-11PM,0.17,475,593.8626947368422,282084.78,4.51978947368421,374,0.3885866213527851,81,0.21657754010695188,0.6,1.5333333333333332,established,5,0
rest_0033,Golden Grill,Chinese,4.8,1123,2,42,False,28.5624,77.2843,10AM-11PM,0.2,776,402.85121134020613,312612.54,4.561984536082474,558,0.49316122347480107,153,0.27419354838709675,0.44999999999999996,2.4,popular,3,0
rest_0034,Paradise House,Chinese,4.5,1793,1,46,False,28.4159,77.0161,11AM-12AM,0.22,531,197.05775894538607,104637.67,4.5165725047080985,372,0.4473304874005305,100,0.26881720430107525,0.35,4.5,popular,3,0
rest_0035,Corner Point,Biryani,4.4,118,2,35,True,28.6103,77.0319,11AM-12AM,0.15,1582,409.271188369153,647467.02,4.537926675094817,1117,0.603957725464191,325,0.2909579230080573,0.625,2.2,popular,1,1
rest_0036,Spicy Point,Italian,4.5,66,1,30,False,28.4167,77.0521,11AM-12AM,0.15,513,206.43487329434697,105901.09,4.533918128654971,370,0.38123922413793104,104,0.2810810810810811,0.75,4.5,popular,8,0
rest_0037,Corner Eatery,North Indian,4.9,46,2,41,True,28.6735,77.2071,11AM-12AM,0.16,1734,412.98608419838524,716117.87,4.53517877739331,1177,0.6636162135278515,364,0.3092608326253186,0.475,2.45,popular,9,1
rest_0038,Deluxe House,Biryani,4.6,39,1,20,True,28.6106,77.1937,9AM-10PM,0.2,1241,201.30526994359388,249819.84,4.532957292506043,871,0.540748425066313,246,0.28243398392652125,1.0,4.6,popular,1,1
rest_0039,Tasty House,South Indian,4.7,18,1,44,True,28.5522,77.2676,11AM-12AM,0.24,1288,200.64741459627328,258433.87,4.56723602484472,912,0.5559646883289125,264,0.2894736842105263,0.4,4.7,popular,10,1
rest_0040,Paradise House,Italian,4.3,215,4,27,True,28.5325,77.2199,11AM-12AM,0.15,1014,777.0197928994082,787898.07,4.538856015779093,713,0.4809248176392573,212,0.2973352033660589,0.825,1.075,popular,8,1
rest_0041,Corner Kitchen,North Indian,4.7,33,3,32,False,28.4392,77.1525,10AM-11PM,0.24,496,607.738185483871,301438.14,4.522379032258065,359,0.3884418932360743,98,0.27298050139275765,0.7,1.5666666666666667,established,9,0
rest_0042,Corner Grill,North Indian,4.5,45,2,44,False,28.4873,77.2975,9AM-10PM,0.16,704,402.5993892045454,283429.97,4.523011363636363,516,0.42101251657824934,138,0.26744186046511625,0.4,2.25,popular,9,0
rest_0043,Royal Kitchen,South Indian,4.2,424,4,30,True,28.6607,77.0798,10AM-11PM,0.23,960,790.5708958333333,758948.06,4.520208333333333,680,0.47100198938992044,193,0.2838235294117647,0.75,1.05,popular,10,1
rest_0044,Corner Hub,Fast Food,4.4,194,1,41,False,28.6713,77.25,10AM-11PM,0.2,552,217.03153985507248,119801.41,4.556884057971015,388,0.3881304708222812,119,0.30670103092783507,0.475,4.4,popular,6,0
rest_0045,Royal Kitchen,South Indian,4.3,282,3,46,False,28.4002,77.128,11AM-12AM,0.22,467,622.7263597430407,290813.21,4.533190578158458,341,0.3672664124668435,86,0.25219941348973607,0.35,1.4333333333333333,established,10,0
rest_0046,Fresh Eatery,South Indian,4.9,1150,3,36,False,28.5782,77.1946,10AM-11PM,0.2,537,593.0756983240224,318481.65,4.495530726256983,370,0.449418600795756,110,0.2972972972972973,0.6,1.6333333333333335,popular,10,0
rest_0047,Paradise Eatery,South Indian,4.3,542,2,38,True,28.6158,77.2182,10AM-11PM,0.2,1529,398.3720536298234,609110.87,4.5459123610202745,1070,0.6019995026525199,325,0.3037383177570093,0.55,2.15,popular,10,1
rest_0048,Deluxe Restaurant,Chinese,4.7,1448,2,33,False,28.5856,77.1901,11AM-12AM,0.23,777,410.9316473616474,319293.89,4.536808236808237,555,0.49909217506631304,159,0.2864864864864865,0.675,2.35,popular,3,0
rest_0049,Deluxe Grill,Healthy,4.7,167,2,36,False,28.4245,77.0422,11AM-12AM,0.23,760,397.0886447368421,301787.37,4.53921052631579,543,0.4492948441644563,153,0.281767955801105,0.6,2.35,popular,7,0
rest_0050,Spicy Kitchen,Chinese,4.9,1665,2,23,False,28.4653,77.1329,11AM-12AM,0.2,765,403.79346405228756,308902.0,4.553464052287582,541,0.5163702751989391,159,0.29390018484288355,0.925,2.45,popular,3,0
rest_0051,Paradise Restaurant,Italian,4.1,254,3,32,False,28.4751,77.1684,9AM-10PM,0.16,435,612.1428735632185,266282.15,4.546436781609195,300,0.34746634615384614,95,0.31666666666666665,0.7,1.3666666666666665,established,8,0
rest_0052,Corner Point,Street Food,4.8,191,1,22,True,28.6495,77.2547,10AM-11PM,0.16,1295,196.4716833976834,254430.83,4.552895752895753,904,0.5696880802387267,280,0.30973451327433627,0.95,4.8,popular,11,1
rest_0053,Royal Grill,Italian,4.9,1329,2,26,True,28.539,77.1331,10AM-11PM,0.23,1765,404.9587195467422,714752.14,4.538696883852691,1249,0.7164564820954907,359,0.28742994395516414,0.85,2.45,popular,8,1
rest_0054,Express Hub,North Indian,4.8,40,2,20,False,28.546,77.2756,11AM-12AM,0.2,749,399.7986515353805,299449.19,4.526168224299066,554,0.448381299734748,137,0.24729241877256317,1.0,2.4,popular,9,0
rest_0055,Tasty Hub,South Indian,4.6,3088,2,37,False,28.6805,77.1321,10AM-11PM,0.2,658,389.2748480243161,256142.85,4.553647416413374,479,0.5269748010610079,120,0.25052192066805845,0.575,2.3,popular,10,0
rest_0056,Fresh Hub,South Indian,4.6,97,2,51,True,28.5911,77.1646,11AM-12AM,0.22,1587,400.93478890989286,636283.51,4.536483931947069,1134,0.6162615218832892,316,0.2786596119929453,0.22499999999999998,2.3,popular,10,1
rest_0057,Tasty Point,Chinese,4.2,23,1,30,False,28.6696,77.2389,10AM-11PM,0.24,530,208.9819433962264,110760.43,4.537735849056604,394,0.3652961704244032,101,0.2563451776649746,0.75,4.2,popular,3,0
rest_0058,Classic Restaurant,Chinese,4.9,395,3,44,False,28.537,77.1749,10AM-11PM,0.21,505,592.4658811881188,299195.27,4.553267326732674,355,0.41540459217506637,97,0.27323943661971833,0.4,1.6333333333333335,popular,3,0
rest_0059,Paradise House,Fast Food,4.6,84,2,46,False,28.4448,77.2881,11AM-12AM,0.23,742,406.1521832884097,301364.92,4.522641509433963,532,0.43648242705570295,142,0.2669172932330827,0.35,2.3,popular,6,0
rest_0060,Classic Eatery,South Indian,4.6,3098,2,23,False,28.679,77.1981,11AM-12AM,0.23,770,409.66920779220777,315445.29,4.534285714285715,548,0.5511019562334217,165,0.3010948905109489,0.925,2.3,popular,10,0
rest_0061,Royal Restaurant,Chinese,4.8,77,3,25,False,28.5376,77.1568,11AM-12AM,0.19,519,605.731888246628,314374.85,4.557225433526011,379,0.40090906830238726,94,0.24802110817941952,0.875,1.5999999999999999,popular,3,0
rest_0062,Tasty Palace,Italian,4.6,237,1,44,False,28.4545,77.0071,10AM-11PM,0.18,577,210.85682842287696,121664.39,4.527036395147314,405,0.40698599137931035,131,0.3234567901234568,0.4,4.6,popular,8,0
rest_0063,Golden Point,South Indian,4.7,17,3,34,False,28.4907,77.1241,10AM-11PM,0.23,438,581.7171461187214,254792.11,4.55365296803653,306,0.3755572778514589,87,0.28431372549019607,0.65,1.5666666666666667,established,10,0
rest_0064,Paradise Restaurant,Street Food,4.8,502,3,22,True,28.4152,77.0898,10AM-11PM,0.19,1164,599.2748711340206,697555.95,4.54905498281787,806,0.5531036140583554,247,0.3064516129032258,0.95,1.5999999999999999,popular,11,1
rest_0065,Golden Restaurant,Italian,4.8,46,2,28,True,28.5405,77.2244,10AM-11PM,0.24,1733,405.6421984997115,702977.93,4.545412579342181,1224,0.6574040119363396,353,0.2883986928104575,0.8,2.4,popular,8,1
rest_0066,Royal Cafe,South Indian,4.9,419,1,39,True,28.6559,77.0625,10AM-11PM,0.16,1339,198.4647647498133,265744.32,4.537714712471994,922,0.5932461041114059,291,0.3156182212581345,0.525,4.9,popular,10,1
rest_0067,Spicy Eatery,Continental,4.0,78,2,27,True,28.6801,77.0616,10AM-11PM,0.16,1438,397.40086230876216,571462.44,4.555493741307371,1035,0.5479583885941645,275,0.26570048309178745,0.825,2.0,popular,4,1
rest_0068,Deluxe Point,Chinese,4.5,10,1,20,True,28.6798,77.0569,11AM-12AM,0.24,1267,193.26327545382796,244864.57,4.5473559589581685,873,0.5392199933687003,277,0.3172966781214204,1.0,4.5,popular,3,1
rest_0069,Express Palace,Italian,4.9,180,1,31,True,28.4376,77.0377,10AM-11PM,0.21,1315,197.7458174904943,260035.75,4.545019011406844,959,0.5795354774535809,260,0.2711157455683003,0.725,4.9,popular,8,1
rest_0070,Classic Restaurant,Chinese,4.9,168,2,32,False,28.5146,77.0933,11AM-12AM,0.19,807,403.92097893432464,325964.23,4.52998760842627,573,0.471304376657825,155,0.2705061082024433,0.7,2.45,popular,3,0
rest_0071,Deluxe Restaurant,Chinese,4.8,556,2,35,True,28.4085,77.2658,9AM-10PM,0.23,1759,399.13373507674817,702076.24,4.538942581011939,1233,0.6813106763925729,360,0.291970802919708,0.625,2.4,popular,3,1
rest_0072,Tasty Kitchen,Fast Food,4.8,1531,2,47,False,28.6565,77.2325,10AM-11PM,0.22,764,400.24344240837695,305785.99,4.523429319371727,551,0.5053263428381962,148,0.26860254083484575,0.32499999999999996,2.4,popular,6,0
rest_0073,Deluxe House,North Indian,4.7,2613,3,35,True,28.5076,77.2206,10AM-11PM,0.2,1075,604.4436279069768,649776.9,4.526883720930233,759,0.6043354608753316,222,0.2924901185770751,0.625,1.5666666666666667,popular,9,1
rest_0074,Golden House,South Indian,4.9,542,2,37,False,28.5893,77.2392,10AM-11PM,0.16,820,396.5993658536585,325211.48,4.522560975609756,583,0.4875485742705571,170,0.2915951972555746,0.575,2.45,popular,10,0
rest_0075,Royal Restaurant,North Indian,4.5,225,1,45,False,28.6145,77.0808,11AM-12AM,0.23,479,196.37874739039665,94065.42,4.554697286012526,364,0.3797575431034483,83,0.22802197802197802,0.375,4.5,established,9,0
rest_0076,Express Grill,Fast Food,4.9,17,2,35,True,28.529,77.2662,10AM-11PM,0.24,1701,395.68174603174606,673054.65,4.53803644914756,1184,0.6555678879310345,346,0.2922297297297297,0.625,2.45,popular,6,1
rest_0077,Deluxe Point,South Indian,4.9,200,3,56,False,28.4919,77.0412,10AM-11PM,0.17,517,587.3752804642166,303673.02,4.5278529980657645,357,0.4109197612732096,109,0.30532212885154064,0.09999999999999998,1.6333333333333335,popular,10,0
rest_0078,Tasty Hub,Biryani,4.8,204,2,22,False,28.6887,77.1009,11AM-12AM,0.24,821,397.60666260657734,326435.07,4.53130328867235,567,0.469573275862069,180,0.31746031746031744,0.95,2.4,popular,1,0
rest_0079,Classic Grill,Chinese,4.5,110,3,25,False,28.6893,77.176,10AM-11PM,0.24,537,601.9045251396648,323222.73,4.524767225325885,374,0.387918600795756,106,0.28342245989304815,0.875,1.5,popular,3,0
rest_0080,Express Grill,Fast Food,4.8,383,2,41,False,28.4868,77.0309,11AM-12AM,0.2,724,401.2968922651934,290538.95,4.515193370165746,516,0.45544404840848807,145,0.2810077519379845,0.475,2.4,popular,6,0
rest_0081,Deluxe Palace,Healthy,4.8,798,3,47,False,28.5439,77.219,11AM-12AM,0.22,531,619.8421092278719,329136.16,4.54858757062147,386,0.4294530835543766,107,0.2772020725388601,0.32499999999999996,1.5999999999999999,popular,7,0
rest_0082,Tasty Kitchen,Street Food,4.5,43,2,32,False,28.6919,77.1162,11AM-12AM,0.19,726,396.3989807162534,287785.66,4.524380165289256,536,0.42560883620689655,143,0.2667910447761194,0.7,2.25,popular,11,0
rest_0083,Classic Palace,Street Food,4.3,42,2,24,False,28.4015,77.2353,10AM-11PM,0.18,696,397.31981321839083,276534.59,4.552729885057471,493,0.40720673076923075,146,0.2961460446247465,0.9,2.15,popular,11,0
rest_0084,Paradise Bites,Chinese,4.6,120,2,52,True,28.5238,77.1479,9AM-10PM,0.22,1619,405.3224459542928,656217.04,4.547560222359481,1124,0.623881299734748,341,0.30338078291814946,0.19999999999999996,2.3,popular,3,1
rest_0085,Royal Kitchen,Italian,3.8,58,2,27,False,28.4301,77.0543,11AM-12AM,0.24,674,411.17305637982196,277130.64,4.529821958456973,498,0.3731152188328912,123,0.2469879518072289,0.825,1.9,popular,8,0
rest_0086,Fresh Kitchen,South Indian,4.8,12,2,38,False,28.5527,77.2204,10AM-11PM,0.22,777,402.58,312804.66,4.546975546975547,552,0.45331332891246684,156,0.2826086956521739,0.55,2.4,popular,10,0
rest_0087,Corner Kitchen,North Indian,4.4,33,2,48,False,28.4074,77.0756,10AM-11PM,0.2,647,397.83845440494594,257401.48,4.5415765069551775,483,0.4024843335543766,128,0.2650103519668737,0.30000000000000004,2.2,popular,9,0
rest_0088,Tasty Bites,Chinese,4.4,23,3,30,True,28.5221,77.1472,10AM-11PM,0.17,1055,614.8940947867299,648713.27,4.537725118483412,741,0.4887020059681698,214,0.28879892037786775,0.75,1.4666666666666668,popular,3,1
rest_0089,Spicy Cafe,Italian,4.6,909,4,28,False,28.4662,77.0227,9AM-10PM,0.16,477,855.1936897274634,407927.39,4.49475890985325,351,0.40999660145888595,89,0.2535612535612536,0.8,1.15,established,8,0
rest_0090,Paradise Point,South Indian,4.9,1908,2,29,False,28.56,77.1854,9AM-10PM,0.19,844,394.44215639810426,332909.18,4.542535545023696,617,0.5418962201591513,152,0.24635332252836303,0.775,2.45,popular,10,0
rest_0091,Tasty Kitchen,Italian,4.7,28,2,44,True,28.6988,77.1998,11AM-12AM,0.15,1659,400.2750452079566,664056.3,4.5358047016274865,1167,0.6350520557029178,351,0.30077120822622105,0.4,2.35,popular,8,1
rest_0092,Royal Bites,Biryani,4.5,336,2,45,False,28.6402,77.1136,9AM-10PM,0.21,754,427.6039522546419,322413.38,4.5367374005305035,542,0.4421153846153847,152,0.28044280442804426,0.375,2.25,popular,1,0
rest_0093,Fresh Eatery,Italian,4.6,550,3,35,False,28.6537,77.2863,10AM-11PM,0.19,484,636.0783264462809,307861.91,4.54504132231405,360,0.39853730106100793,85,0.2361111111111111,0.625,1.5333333333333332,established,8,0
rest_0094,Express Restaurant,Continental,4.9,15,2,53,False,28.5906,77.2623,10AM-11PM,0.23,768,400.7763671875,307796.25,4.513541666666667,536,0.45751168766578254,167,0.31156716417910446,0.17500000000000004,2.45,popular,4,0
rest_0095,Golden Restaurant,Fast Food,4.5,188,4,35,False,28.4125,77.2124,9AM-10PM,0.18,428,794.1908644859814,339913.69,4.523831775700935,318,0.36760112732095496,81,0.25471698113207547,0.625,1.125,established,6,0
rest_0096,Corner Kitchen,Healthy,4.9,6636,2,47,False,28.462,77.2141,11AM-12AM,0.21,829,408.22971049457175,338422.43,4.539445114595899,590,0.7091939655172415,168,0.2847457627118644,0.32499999999999996,2.45,popular,7,0
rest_0097,Express Grill,Italian,4.4,409,2,30,False,28.6775,77.0757,10AM-11PM,0.2,736,401.1717391304348,295262.4,4.536005434782608,530,0.4349279675066313,148,0.2792452830188679,0.75,2.2,popular,8,0
rest_0098,Fresh Palace,Fast Food,4.8,102,3,58,False,28.5098,77.197,11AM-12AM,0.15,499,622.1237274549098,310439.74,4.530260521042084,351,0.39756647877984086,106,0.301994301994302,0.050000000000000044,1.5999999999999999,established,6,0
rest_0099,Spicy Cafe,Beverages,4.3,64,3,50,True,28.4311,77.0595,24 hours,0.16,1039,621.4101539942252,645645.15,4.540423484119345,712,0.4807851458885942,226,0.31741573033707865,0.25,1.4333333333333333,popular,0,1
rest_0100,Express Kitchen,Desserts,4.6,10,2,33,True,28.6107,77.0432,11AM-12AM,0.18,1674,414.4182676224612,693736.18,4.546176821983273,1196,0.6315860411140584,338,0.2826086956521739,0.675,2.3,popular,5,1
rest_0101,Deluxe Cafe,North Indian,4.2,300,2,49,False,28.4898,77.2998,9AM-10PM,0.24,619,406.7706462035541,251791.03,4.573021001615508,454,0.39417009283819626,115,0.2533039647577093,0.275,2.1,popular,9,0
rest_0102,Royal Palace,Chinese,4.3,2756,4,48,True,28.4807,77.1867,11AM-12AM,0.16,990,806.7474343434343,798679.96,4.532020202020202,728,0.567454575596817,187,0.25686813186813184,0.30000000000000004,1.075,popular,3,1
rest_0103,Golden Hub,South Indian,4.5,43,1,50,True,28.6994,77.1293,10AM-11PM,0.22,1214,200.26224876441515,243118.37,4.546128500823723,842,0.5291632128647215,241,0.2862232779097387,0.25,4.5,popular,10,1
rest_0104,Classic Hub,North Indian,4.8,10,3,20,False,28.6574,77.0864,9AM-10PM,0.25,513,614.6663157894737,315323.82,4.535282651072125,367,0.39721999336870023,103,0.28065395095367845,1.0,1.5999999999999999,popular,9,0
rest_0105,Royal Palace,Italian,4.9,54,1,42,True,28.5224,77.1812,10AM-11PM,0.23,1331,205.58392937640872,273632.21,4.53313298271976,943,0.5783874336870027,267,0.2831389183457052,0.44999999999999996,4.9,popular,8,1
rest_0106,Paradise Palace,Fast Food,4.7,556,3,40,False,28.6941,77.0149,9AM-10PM,0.17,485,625.2034845360824,303223.69,4.54680412371134,353,0.4049658488063661,98,0.2776203966005666,0.5,1.5666666666666667,established,6,0
rest_0107,Deluxe Kitchen,Street Food,4.4,78,3,39,True,28.595,77.0284,10AM-11PM,0.24,1046,584.7435277246653,611641.73,4.526003824091778,725,0.4887753647214854,216,0.2979310344827586,0.525,1.4666666666666668,popular,11,1
rest_0108,Corner Restaurant,North Indian,4.6,43,2,37,False,28.6226,77.0099,11AM-12AM,0.16,760,408.79346052631576,310683.02999999997,4.536315789473684,545,0.4388236903183024,150,0.27522935779816515,0.575,2.3,popular,9,0
rest_0109,Spicy Grill,Street Food,4.7,152,3,37,False,28.4095,77.1498,10AM-11PM,0.2,543,595.3060405156538,323251.18,4.5182320441988955,398,0.4027062334217507,108,0.271356783919598,0.575,1.5666666666666667,popular,11,0
rest_0110,Tasty House,Italian,4.6,209,1,47,True,28.4365,77.1802,10AM-11PM,0.24,1228,203.83515472312703,250309.57,4.541612377850163,872,0.5441196120689655,254,0.29128440366972475,0.32499999999999996,4.6,popular,8,1
rest_0111,Deluxe Bites,Continental,4.4,18,2,40,False,28.5899,77.0187,10AM-11PM,0.21,704,412.51748579545455,290412.31,4.535795454545454,513,0.41403895888594167,135,0.2631578947368421,0.5,2.2,popular,4,0
rest_0112,Paradise Eatery,Biryani,4.9,107,2,37,True,28.6697,77.2164,24 hours,0.19,1788,399.94999440715884,715110.59,4.54423937360179,1256,0.6772746187002654,363,0.2890127388535032,0.575,2.45,popular,1,1
rest_0113,Royal Restaurant,Italian,4.6,70,2,46,False,28.5871,77.0691,24 hours,0.18,770,405.74941558441554,312427.05,4.535454545454546,545,0.44191926392572944,156,0.28623853211009176,0.35,2.3,popular,8,0
rest_0114,Classic House,South Indian,4.5,56,3,39,False,28.4402,77.2056,10AM-11PM,0.19,462,576.6132034632035,266395.3,4.525974025974026,332,0.3700563660477454,85,0.2560240963855422,0.525,1.5,established,10,0
rest_0115,Golden Kitchen,Fast Food,4.7,32,1,40,False,28.4347,77.2946,24 hours,0.2,633,202.47563981042654,128167.08,4.523696682464455,437,0.4174774535809019,135,0.30892448512585813,0.5,4.7,popular,6,0
rest_0116,Spicy Kitchen,South Indian,4.8,609,1,53,False,28.6533,77.2073,9AM-10PM,0.18,580,217.22825862068964,125992.39,4.54448275862069,421,0.4330360576923077,102,0.24228028503562946,0.17500000000000004,4.8,popular,10,0
rest_0117,Fresh Point,North Indian,4.4,56,1,30,False,28.4418,77.265,11AM-12AM,0.25,558,196.58910394265234,109696.72,4.499283154121864,396,0.3844277188328913,110,0.2777777777777778,0.75,4.4,popular,9,0
